,Job name,Link,Location,Salary min,Salary max,Portal,unstructured,r,degree,clustering,frontend,algebra,tableau,keras,brutto,puppet,consult,psql,descriptive,per month,matlab,classification,augmented,jinja,decision trees,couchdb,scala,predictive,cassandra,hbase,per day,svn,usd,excel,algorithm,seaborn,orm,data exploration,exploratory,pandas,natural language,ar,spss,debug,css,bokken,kaggle,azure,presentation,object relational mapper,math,project management,pytorch,decision tree,flask,experiment,tensorflow,ruby,zdalnie,per annum,spark,pound,phd,nosql,calculus,deep learning,python,scikit,beautiful soup,tf,hive,druid,salary,neural networks,test,security,maria,statistic,memcachedb,bachelor,chatbot,euro,java,unsupervised,munging,visualisation,netto,bayes,c++,mercurial,metrics,estimators,mongodb,remote,automation,sas,hadoop,d3.js,big data,wrangl,data processing,unit test,blockchain,masters,javascript,bs in,money,classifier,information retrival,machine learning,matplotlib,regression,pearl,conversational interface,anova,rest,jira,html,data,engineering,bs4,zdalna,analysis,django,mako,data mining,sql,.net,git,scraping,grunt,certificat,aws,pln,vr,nlp,c#,supervised,flink,thenao,methodology,data integration,numpy,nltk,quantitative analysis,large datasets
18,principal product security engineer,"""https://www.reed.co.uk/jobs/principal-product-security-engineer/33990343?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City Of London,,,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
19,python developer,"""https://www.reed.co.uk/jobs/python-developer/34062327?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City of London,40000,55000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
20,front end developer london,"""https://www.reed.co.uk/jobs/front-end-developer-london/33834039?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,65000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
21,c software engineer with linux,"""https://www.pracuj.pl/praca/c-software-engineer-with-linux-wroclaw,oferta,5740753""",wroclaw, , ,pracuj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
22,qa embedded engineer,"""https://www.pracuj.pl/praca/qa-embedded-engineer-wroclaw,oferta,5752281""",wroclaw, , ,pracuj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
23,solution architect digital products services,"""https://www.pracuj.pl/praca/solution-architect-digital-products-services-wroclaw,oferta,5755862""",wroclaw, , ,pracuj,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0,1,0,,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
24,embedded software developer,"""https://www.pracuj.pl/praca/embedded-software-developer-wroclaw,oferta,5750688""",wroclaw, , ,pracuj,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
25,c%2b%2b dsp embedded engineer,"""https://www.pracuj.pl/praca/c%2b%2b-dsp-embedded-engineer-wroclaw,oferta,5745019""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
26,python working student,"""https://www.pracuj.pl/praca/python-working-student-wroclaw,oferta,5745076""",wroclaw, , ,pracuj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
27,senior python java engineer,"""https://www.pracuj.pl/praca/senior-python-java-engineer-wroclaw,oferta,5745078""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
28,integration and testing working student,"""https://www.pracuj.pl/praca/integration-and-testing-working-student-wroclaw,oferta,5745080""",wroclaw, , ,pracuj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
29,python bash and linux working student,"""https://www.pracuj.pl/praca/python-bash-and-linux-working-student-wroclaw,oferta,5745083""",wroclaw, , ,pracuj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
30,data analyst working student,"""https://www.pracuj.pl/praca/data-analyst-working-student-wroclaw,oferta,5745085""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
31,programista,"""https://www.pracuj.pl/praca/programista-wroclaw,oferta,5746690""",wroclaw, , ,pracuj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
32,data engineer working student,"""https://www.pracuj.pl/praca/data-engineer-working-student-wroclaw,oferta,5740984""",wroclaw, , ,pracuj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
33,full stack engineer,"""https://www.pracuj.pl/praca/full-stack-engineer-wroclaw,oferta,5740272""",wroclaw, , ,pracuj,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
34,python developer,"""https://www.pracuj.pl/praca/python-developer-wroclaw,oferta,5740278""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
35,full stack engineer,"""https://www.pracuj.pl/praca/full-stack-engineer-wroclaw,oferta,5740283""",wroclaw, , ,pracuj,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
36,java python engineer,"""https://www.pracuj.pl/praca/java-python-engineer-wroclaw,oferta,5740286""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
37,senior c%2b%2b engineer,"""https://www.pracuj.pl/praca/senior-c%2b%2b-engineer-wroclaw,oferta,5740292""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
38,scm solution designer,"""https://www.pracuj.pl/praca/scm-solution-designer-wroclaw,oferta,5740291""",wroclaw, , ,pracuj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
39,test automation engineer,"""https://www.pracuj.pl/praca/test-automation-engineer-wroclaw,oferta,5740295""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
40,senior integration and testing engineer,"""https://www.pracuj.pl/praca/senior-integration-and-testing-engineer-wroclaw,oferta,5740298""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
41,integration and testing engineer,"""https://www.pracuj.pl/praca/integration-and-testing-engineer-wroclaw,oferta,5740304""",wroclaw, , ,pracuj,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
